district,dong_code,dong_name,floor,contract_date,rent_type,area_m2,deposit,rent,built_year,building_type,year,interest_rate,cpi,contract_year,building_age
성북구,13400,길음동,4.0,2022-01-04,월세,84.96,40000,50,2003.0,아파트,2022,1.0,104.85,2022,19.0
성북구,13400,길음동,1.0,2022-01-04,월세,32.98,10000,65,2000.0,아파트,2022,1.0,104.85,2022,22.0
성북구,13100,보문동2가,3.0,2022-01-04,월세,20.47,1500,50,2011.0,연립다세대,2022,1.0,104.85,2022,11.0
성북구,12500,안암동5가,5.0,2022-01-04,월세,14.13,2000,55,2012.0,연립다세대,2022,1.0,104.85,2022,10.0
성북구,13800,장위동,2.0,2022-01-04,월세,36.91,13500,25,2016.0,연립다세대,2022,1.0,104.85,2022,6.0
성북구,13600,하월곡동,1.0,2022-01-05,월세,36.0,2000,50,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,11800,동선동3가,1.0,2022-01-05,월세,39.6,10000,45,1997.0,단독다가구,2022,1.0,104.85,2022,25.0
성북구,13900,석관동,5.0,2022-01-05,월세,25.0,500,40,2002.0,오피스텔,2022,1.0,104.85,2022,20.0
성북구,12500,안암동5가,1.0,2022-01-05,월세,22.17,300,55,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,12400,안암동4가,1.0,2022-01-05,월세,21.58,5000,20,1996.0,단독다가구,2022,1.0,104.85,2022,26.0
성북구,11700,동선동2가,1.0,2022-01-05,월세,149.9,1000,60,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,10300,돈암동,1.0,2022-01-05,월세,30.03,2000,70,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,12500,안암동5가,1.0,2022-01-05,월세,17.0,1000,45,2009.0,단독다가구,2022,1.0,104.85,2022,13.0
성북구,11700,동선동2가,1.0,2022-01-05,월세,15.3,8000,45,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,11800,동선동3가,1.0,2022-01-05,월세,20.0,1000,50,2003.0,단독다가구,2022,1.0,104.85,2022,19.0
성북구,10200,성북동1가,1.0,2022-01-05,월세,19.83,1000,40,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,13600,하월곡동,1.0,2022-01-05,월세,18.0,10000,16,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,11500,삼선동5가,1.0,2022-01-05,월세,31.0,1000,55,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,13100,보문동2가,1.0,2022-01-05,월세,27.0,9000,50,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,13300,정릉동,1.0,2022-01-05,월세,18.1,500,44,2021.0,단독다가구,2022,1.0,104.85,2022,1.0
성북구,11200,삼선동2가,1.0,2022-01-05,월세,17.0,1000,48,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,12500,안암동5가,1.0,2022-01-05,월세,19.8,1000,60,2003.0,단독다가구,2022,1.0,104.85,2022,19.0
성북구,13700,상월곡동,1.0,2022-01-05,월세,16.0,500,30,2016.0,단독다가구,2022,1.0,104.85,2022,6.0
성북구,11500,삼선동5가,1.0,2022-01-05,월세,16.5,500,30,2009.0,단독다가구,2022,1.0,104.85,2022,13.0
성북구,13300,정릉동,1.0,2022-01-05,월세,64.73,20000,5,2013.0,단독다가구,2022,1.0,104.85,2022,9.0
성북구,13300,정릉동,1.0,2022-01-05,월세,66.84,3000,70,1989.0,단독다가구,2022,1.0,104.85,2022,33.0
성북구,13800,장위동,1.0,2022-01-05,월세,16.0,0,20,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,12500,안암동5가,1.0,2022-01-05,월세,20.0,1000,50,1996.0,단독다가구,2022,1.0,104.85,2022,26.0
성북구,10900,동소문동6가,1.0,2022-01-05,월세,19.8,1000,50,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,10600,동소문동3가,1.0,2022-01-05,월세,18.0,1000,55,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13300,정릉동,1.0,2022-01-05,월세,66.11,3000,90,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,13600,하월곡동,1.0,2022-01-05,월세,16.0,7000,20,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13800,장위동,1.0,2022-01-05,월세,50.0,5000,25,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,13800,장위동,1.0,2022-01-05,월세,59.22,2000,65,1997.0,단독다가구,2022,1.0,104.85,2022,25.0
성북구,13800,장위동,1.0,2022-01-05,월세,50.0,3000,40,2000.0,단독다가구,2022,1.0,104.85,2022,22.0
성북구,13800,장위동,15.0,2022-01-05,월세,32.22,7507,20,2017.0,아파트,2022,1.0,104.85,2022,5.0
성북구,13400,길음동,9.0,2022-01-05,월세,59.98,14000,90,2010.0,아파트,2022,1.0,104.85,2022,12.0
성북구,12000,동선동5가,1.0,2022-01-05,월세,46.28,1000,55,1996.0,단독다가구,2022,1.0,104.85,2022,26.0
성북구,13600,하월곡동,8.0,2022-01-05,월세,84.84,9000,111,2003.0,아파트,2022,1.0,104.85,2022,19.0
성북구,13600,하월곡동,14.0,2022-01-05,월세,84.84,10000,135,2003.0,아파트,2022,1.0,104.85,2022,19.0
성북구,13400,길음동,10.0,2022-01-05,월세,59.96,43000,5,2010.0,아파트,2022,1.0,104.85,2022,12.0
성북구,13800,장위동,13.0,2022-01-05,월세,59.99,10000,100,2008.0,아파트,2022,1.0,104.85,2022,14.0
성북구,13900,석관동,2.0,2022-01-05,월세,22.09,1000,40,2005.0,오피스텔,2022,1.0,104.85,2022,17.0
성북구,13800,장위동,-1.0,2022-01-05,월세,16.53,300,30,1976.0,연립다세대,2022,1.0,104.85,2022,46.0
성북구,13300,정릉동,3.0,2022-01-05,월세,21.71,930,12,2017.0,연립다세대,2022,1.0,104.85,2022,5.0
성북구,13600,하월곡동,15.0,2022-01-05,월세,15.54,1000,50,2013.0,아파트,2022,1.0,104.85,2022,9.0
성북구,11900,동선동4가,9.0,2022-01-05,월세,47.14,2000,130,2017.0,오피스텔,2022,1.0,104.85,2022,5.0
성북구,13400,길음동,22.0,2022-01-05,월세,112.51,70000,150,2022.0,아파트,2022,1.0,104.85,2022,0.0
성북구,13400,길음동,21.0,2022-01-05,월세,59.78,40000,50,2022.0,아파트,2022,1.0,104.85,2022,0.0
성북구,13600,하월곡동,14.0,2022-01-05,월세,84.59,20000,110,2006.0,아파트,2022,1.0,104.85,2022,16.0
성북구,13400,길음동,2.0,2022-01-05,월세,33.46,7347,19,2019.0,아파트,2022,1.0,104.85,2022,3.0
성북구,13900,석관동,1.0,2022-01-06,월세,15.0,1000,50,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,11800,동선동3가,1.0,2022-01-06,월세,20.0,3000,30,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,13500,종암동,1.0,2022-01-06,월세,16.0,500,45,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13500,종암동,1.0,2022-01-06,월세,16.5,500,42,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,11800,동선동3가,1.0,2022-01-06,월세,20.0,1000,50,2011.0,단독다가구,2022,1.0,104.85,2022,11.0
성북구,13800,장위동,1.0,2022-01-06,월세,41.89,13000,10,1997.0,연립다세대,2022,1.0,104.85,2022,25.0
성북구,12500,안암동5가,1.0,2022-01-06,월세,18.0,1000,65,2016.0,단독다가구,2022,1.0,104.85,2022,6.0
성북구,13900,석관동,3.0,2022-01-06,월세,59.97,31000,4,1998.0,아파트,2022,1.0,104.85,2022,24.0
성북구,11700,동선동2가,1.0,2022-01-06,월세,20.0,1000,45,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,12300,안암동3가,1.0,2022-01-06,월세,20.0,500,50,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13300,정릉동,1.0,2022-01-06,월세,15.18,1000,50,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13300,정릉동,1.0,2022-01-06,월세,16.17,1000,50,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,12500,안암동5가,1.0,2022-01-06,월세,20.0,500,45,1998.0,단독다가구,2022,1.0,104.85,2022,24.0
성북구,12200,안암동2가,1.0,2022-01-06,월세,23.51,2000,50,2004.0,단독다가구,2022,1.0,104.85,2022,18.0
성북구,13700,상월곡동,1.0,2022-01-06,월세,29.28,300,36,1989.0,단독다가구,2022,1.0,104.85,2022,33.0
성북구,11800,동선동3가,1.0,2022-01-06,월세,39.6,4000,80,2012.0,단독다가구,2022,1.0,104.85,2022,10.0
성북구,11700,동선동2가,1.0,2022-01-06,월세,26.4,1000,45,1997.0,단독다가구,2022,1.0,104.85,2022,25.0
성북구,12100,안암동1가,1.0,2022-01-06,월세,24.0,1000,40,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,13300,정릉동,3.0,2022-01-06,월세,14.45,1000,40,2013.0,연립다세대,2022,1.0,104.85,2022,9.0
성북구,13800,장위동,1.0,2022-01-06,월세,37.21,500,45,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,13800,장위동,1.0,2022-01-06,월세,35.0,500,45,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,12200,안암동2가,1.0,2022-01-06,월세,20.5,1000,45,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13800,장위동,1.0,2022-01-06,월세,29.38,12000,19,1969.0,단독다가구,2022,1.0,104.85,2022,53.0
성북구,12600,보문동4가,1.0,2022-01-06,월세,33.68,12000,15,2000.0,단독다가구,2022,1.0,104.85,2022,22.0
성북구,13900,석관동,1.0,2022-01-06,월세,47.37,12000,20,1999.0,단독다가구,2022,1.0,104.85,2022,23.0
성북구,13500,종암동,1.0,2022-01-06,월세,24.0,500,43,1995.0,단독다가구,2022,1.0,104.85,2022,27.0
성북구,10300,돈암동,13.0,2022-01-06,월세,59.99,15000,130,2004.0,아파트,2022,1.0,104.85,2022,18.0
성북구,13300,정릉동,22.0,2022-01-06,월세,84.92,9000,180,2004.0,아파트,2022,1.0,104.85,2022,18.0
성북구,13300,정릉동,3.0,2022-01-06,월세,57.05,7000,50,2016.0,연립다세대,2022,1.0,104.85,2022,6.0
